2;2;2;10.04.2025;"Детский дом ""Надежда""";10;3;2
3;3;3;18.04.2025;"Ветклиника ""Друг""";8;2;3
4;4;4;01.05.2025;Городской стадион;25;24;4
5;5;1;25.04.2025;Городской сквер;20;25;1
6;6;2;12.04.2025;Дом ветеранов;12;2;2
7;7;1;05.05.2025;"Река ""Чистая""";18;3;3
8;8;2;08.05.2025;Парк культуры;15;24;4
9;9;3;20.04.2025;"Приют ""Лапа""";10;25;1
10;10;4;12.05.2025;Велотрасса;30;2;2
11;11;1;22.04.2025;Школа №15;12;3;3
12;12;2;25.12.2024;Детская больница;20;24;4
13;13;3;15.05.2025;Конный клуб;8;25;1
14;14;4;30.04.2025;Футбольное поле;22;2;2
15;15;1;10.05.2025;Центр города;15;3;3
16;16;2;28.04.2025;Районный центр;10;24;4
17;17;3;03.05.2025;"Ветклиника ""Котофей""";6;25;1
18;18;4;17.04.2025;Центральный парк;35;2;2
19;19;1;14.04.2025;Лесопарковая зона;10;3;3
20;20;2;20.05.2025;Городская больница;40;24;4
